po_id,order_date,plant_id,vendor_id,material_id,quantity,unit_price,expected_delivery_date,on_time,actual_delivery_date
PO00261,2023-01-17,ATL001,VEN013,MAT034,1579,16.76,2023-01-24,True,2023-01-24
PO00262,2023-01-17,ATL001,VEN010,MAT035,1920,12.66,2023-01-26,True,2023-01-26
PO00263,2023-01-17,ATL001,VEN002,MAT036,2854,45.27,2023-01-23,True,2023-01-23
PO00264,2023-01-17,ATL001,VEN009,MAT039,2857,15.6,2023-01-29,True,2023-01-29
PO00265,2023-01-17,ATL001,VEN012,MAT042,1206,6.09,2023-01-29,True,2023-01-29
PO00266,2023-01-17,ATL001,VEN008,MAT044,1184,5.79,2023-01-31,True,2023-01-31
PO00267,2023-01-17,ATL001,VEN018,MAT048,1567,30.1,2023-01-29,True,2023-01-29
PO00268,2023-01-17,ATL001,VEN014,MAT049,1217,38.33,2023-01-26,True,2023-01-26
PO00269,2023-01-18,CLV001,VEN005,MAT001,2493,23.11,2023-01-30,True,2023-01-30
PO00270,2023-01-18,CLV001,VEN017,MAT004,2251,12.83,2023-01-26,True,2023-01-26
PO00271,2023-01-18,CLV001,VEN007,MAT005,2420,26.0,2023-01-25,False,2023-01-28
PO00272,2023-01-18,CLV001,VEN016,MAT008,1174,32.66,2023-01-25,True,2023-01-25
PO00273,2023-01-18,CLV001,VEN016,MAT009,1013,13.23,2023-01-25,True,2023-01-25
PO00274,2023-01-18,CLV001,VEN011,MAT010,2433,51.99,2023-01-28,True,2023-01-28
PO00275,2023-01-18,CLV001,VEN010,MAT012,1871,4.58,2023-01-25,True,2023-01-25
PO00276,2023-01-18,CLV001,VEN017,MAT013,2399,18.48,2023-01-23,True,2023-01-23
PO00277,2023-01-18,CLV001,VEN002,MAT014,1843,19.91,2023-01-31,True,2023-01-31
