communication_id,date,vendor_id,direction,subject,message
COMM0039,2023-01-13,VEN005,from_vendor,Delivery Confirmation,Just confirming that PO71509 was delivered successfully yesterday. Driver noted no issues. Let us know if there are any problems with the shipment!
COMM0040,2023-01-22,VEN010,from_vendor,Urgent: Delivery Timeline Change,"URGENT UPDATE

Your order PO00142 has been impacted by a carrier strike. All deliveries are delayed by approximately 4 days. We are actively working to secure alternative transportation but cannot guarantee the original delivery date of 01/23/2023. New estimated delivery: 01/27/2023. Please contact us immediately if this creates critical supply issues."
COMM0041,2023-01-19,VEN002,from_vendor,System Migration Delay,We're in the middle of a system migration and it's not going smoothly. Order processing has been delayed across the board. PO00143 is affected and will be approximately 8 days late. I know this is our problem not yours. We'll have a credit applied to your account for the inconvenience.
COMM0042,2023-01-20,VEN006,from_vendor,Order Delay - PO00145,Wanted to give you a heads up that PO00145 is running behind. We had some equipment break down in the middle of your production run and had to pause everything while we got it fixed. Back up and running now but we lost about 5 days. Should ship by 01/26/2023. Sorry for the delay!
COMM0043,2023-01-27,VEN008,from_vendor,Shipping Update,"SHIPPING UPDATE

Order: PO00146
Original Ship Date: 01/26/2023
Revised Ship Date: 02/04/2023
Reason: Port congestion
Delay: 9 business days

We apologize for this inconvenience and appreciate your patience."
COMM0044,2023-01-25,VEN010,from_vendor,FW: Logistics Issue,"---------- Forwarded message ---------
From: Warehouse Manager
Date: Sat, Jan 14

We have a situation with PO00154. Raw material shortage means we can't complete production until next week. Customer delivery will be delayed approximately 6 days. Please notify customer.

---
Hi, see above. Really sorry about this. Let me know if this creates major problems for you."
COMM0045,2023-01-23,VEN007,from_vendor,Important: Delivery Delay,"Hey, just got word from our logistics team that PO00157 is going to be delayed. There's a massive backup at the distribution center due to the holiday rush. They're saying 5 additional days minimum. I'm pushing them to expedite but wanted to set expectations. Will keep you updated!"
COMM0046,2023-01-14,VEN003,from_vendor,Quality Certificate,Attached please find the Q2 quality certifications and lab reports for your records. Everything passed with flying colors. Let me know if you need anything else for your compliance files.
COMM0047,2023-01-27,VEN019,from_vendor,Order Status - PO00172,Quick update on your order - we had a production hiccup (equipment maintenance took longer than expected) so PO00172 is going to be late. Should be about 5 days behind schedule. Let me know if this is a problem and we can try to expedite. Thanks for understanding!
COMM0048,2023-01-21,VEN016,from_vendor,Inspection Hold Delay,Quick heads up - PO00181 got flagged for a random quality inspection which has delayed shipment. Everything passed inspection but the process added 4 days to the timeline. New ship date is approximately 01/26/2023. Sorry for the unexpected delay!
COMM0049,2023-01-15,VEN019,from_vendor,RE: Question about order,Let me check with the warehouse and get back to you this afternoon.
COMM0050,2023-01-15,VEN007,to_vendor,Product Discontinuation,"Unfortunately we're discontinuing SKU #8073 due to low demand. If this is something you regularly order, let me know ASAP and we can discuss alternatives or do a final bulk order."
COMM0051,2023-01-16,VEN012,from_vendor,Quality Issue - Batch 1023,"Hi team, hope everyone is doing well! Just wanted to reach out about batch 1023 of MAT016. We noticed some inconsistencies during QA testing - nothing major but out of abundance of caution we recommend disposing of units from that batch. Let me know if you have questions! Best, Sarah"
COMM0052,2023-01-29,VEN008,from_vendor,RE: PO00207 Status,"Just got an update from the plant - PO00207 is delayed because we had a power outage yesterday that shut down production for 8 hours. Combined with some other issues, we're looking at 9 extra days. I know this isn't what you want to hear. Let me know if you need me to escalate internally."
COMM0053,2023-01-23,VEN016,from_vendor,Delay Notice - PO00222,"Hi there, wanted to reach out personally about PO00222. We've run into some unexpected delays - combination of equipment issues and staffing shortages. Your order is going to be about 7 days late. I know this isn't ideal. If you need to cancel or modify the order, just let me know. Otherwise it'll ship as soon as we're back on track."
COMM0054,2023-01-16,VEN014,to_vendor,Thank You,Just wanted to say thanks for being such a great customer! We really value your business and partnership. Looking forward to another great year working together.
COMM0055,2023-01-16,VEN020,from_vendor,Sample Request Follow-up,Hi! Just checking in on those samples we sent last week. Have you had a chance to test them out? Would love to hear your thoughts and see if it's something you'd want to add to your regular orders.
COMM0056,2023-01-17,VEN013,from_vendor,Supplier Recall Notification,"Our raw material supplier has issued a recall that affects batch 5666 of MAT019 that we produced for you. While our finished product testing showed no issues, out of abundance of caution we are asking you to dispose of this batch. Full details in attached supplier notice. Credit will be processed immediately."
COMM0057,2023-01-23,VEN006,from_vendor,DELIVERY NOTIFICATION,DELIVERY NOTIFICATION: Order PO00249 has been rescheduled. Original ETA was 01/24/2023 but due to carrier capacity constraints the new ETA is 01/30/2023. Please contact us if this causes any issues.
COMM0058,2023-01-17,VEN009,to_vendor,Price Update,Hi there! Just a heads up that we're adjusting our pricing structure starting next quarter. Nothing dramatic - mostly just keeping pace with market conditions. I'll send over the updated rate sheet by end of week. Let me know if you want to hop on a call to discuss. Cheers!
COMM0059,2023-01-17,VEN019,to_vendor,RE: Update,"Got it, thanks!"
COMM0060,2023-01-24,VEN007,from_vendor,Shipment Status Update,"Hi, checking in about PO00271. Unfortunately we're experiencing delays due to severe weather in the region. All shipments are backed up by about 3 days. Once the weather clears we'll get everything moving again. I'll send tracking info as soon as it ships. Thanks for your patience!"
COMM0061,2023-01-27,VEN005,from_vendor,FW: Warehouse Capacity Issue,"---------- Forwarded message ---------
From: Operations
Subject: Warehouse at capacity

All outbound shipments delayed 6 days due to warehouse capacity constraints. Cannot load trucks until space clears.

---
This affects your order PO00280. Not ideal but we're working through it. -Steve"
COMM0062,2023-01-31,VEN002,from_vendor,PO00283 - Revised Timeline,"Hi! Quick update on PO00283. We had a quality control hold that delayed production by a few days, and now we're looking at a 6 day delay on delivery. Everything checked out fine in QC, just took longer than expected. New delivery date should be around 02/07/2023. Let me know if you have concerns!"
COMM0063,2023-01-26,VEN010,from_vendor,FW: Logistics Issue,"---------- Forwarded message ---------
From: Warehouse Manager
Date: Wed, Jan 18

We have a situation with PO00298. Raw material shortage means we can't complete production until next week. Customer delivery will be delayed approximately 3 days. Please notify customer.

---
Hi, see above. Really sorry about this. Let me know if this creates major problems for you."
COMM0064,2023-01-18,VEN016,from_vendor,RE: Last week,Thanks for the quick turnaround on that! Really appreciate it. Talk soon.
COMM0065,2023-01-18,VEN014,to_vendor,Trade Show,Will you be at the National Bakery Expo next month? We'll have a booth (#347) and would love to connect in person. Let me know if you're going!
COMM0066,2023-01-19,VEN014,from_vendor,Supplier Recall Notification,"Our raw material supplier has issued a recall that affects batch 4700 of MAT024 that we produced for you. While our finished product testing showed no issues, out of abundance of caution we are asking you to dispose of this batch. Full details in attached supplier notice. Credit will be processed immediately."
COMM0067,2023-01-23,VEN017,from_vendor,Cyber Security Incident,"We experienced a cyber security incident that required us to take systems offline as a precaution. Everything is secure now but we lost several days of production time. PO00311 is delayed approximately 7 days. We take security seriously and this was the right call, but I know it impacts you. Thanks for understanding."
COMM0068,2023-01-30,VEN018,from_vendor,Packaging Material Shortage,Bad news - we're out of packaging materials and our supplier can't deliver until next week. This means PO00328 is sitting in our warehouse ready to go but we can't ship it. Looking at 4 days delay. I know this is ridiculous. We're implementing better inventory controls to prevent this in the future.
COMM0069,2023-01-27,VEN014,from_vendor,RE: Your Order,"Hey - bad news on PO00333. Weather delays at the port plus some customs paperwork issues. Probably looking at another 6 days, maybe more. I'll call you tomorrow to discuss options. -Mike"
COMM0070,2023-01-23,VEN002,from_vendor,Delay Notice - PO00335,"Hi there, wanted to reach out personally about PO00335. We've run into some unexpected delays - combination of equipment issues and staffing shortages. Your order is going to be about 5 days late. I know this isn't ideal. If you need to cancel or modify the order, just let me know. Otherwise it'll ship as soon as we're back on track."
COMM0071,2023-01-27,VEN010,from_vendor,PO00336 - Revised Timeline,"Hi! Quick update on PO00336. We had a quality control hold that delayed production by a few days, and now we're looking at a 8 day delay on delivery. Everything checked out fine in QC, just took longer than expected. New delivery date should be around 02/05/2023. Let me know if you have concerns!"
COMM0072,2023-01-27,VEN018,from_vendor,Delivery Update - PO00341,Hi! So sorry about this but we're running into some issues with PO00341. Our main truck broke down and we're scrambling to find alternative transport. Looking at maybe 9 extra days? Will keep you posted. Really apologize for the inconvenience!
COMM0073,2023-01-19,VEN009,from_vendor,RE: Last week,Thanks for the quick turnaround on that! Really appreciate it. Talk soon.
COMM0074,2023-01-19,VEN014,from_vendor,Account Review,"Hey! It's been a while since we've connected. Would love to schedule a quarterly business review to go over your account, discuss any concerns, and see if there are ways we can better support you. How does next Tuesday look?"
COMM0075,2023-01-25,VEN020,from_vendor,Labor Shortage Impact,"Hi, wanted to give you a heads up that we're dealing with significant labor shortages right now. We're running at about 60% capacity which is impacting all orders including PO00345. Expect a delay of approximately 8 days. We're actively hiring but it's a tough market. Sorry for the inconvenience."
COMM0076,2023-01-24,VEN017,from_vendor,Regulatory Inspection Delay,We had an unscheduled regulatory inspection this week that shut down production for 2 days. Everything passed but it put us way behind. PO00348 is now delayed by 5 days. New estimated delivery is 01/30/2023. Let me know if this creates problems and we can discuss options.
COMM0077,2023-01-29,VEN005,from_vendor,Carrier Delay Notice,Our carrier just notified us that PO00353 is stuck in their hub due to sorting equipment failure. They're manually processing everything which is taking forever. Estimate is 6 additional days before delivery. I'm considering switching carriers if this keeps happening. Sorry for the hassle!
COMM0078,2023-01-26,VEN015,from_vendor,Third Party Logistics Issue,Our 3PL partner just informed us they have a backlog due to staffing issues. PO00360 is sitting in their warehouse waiting to be processed and shipped. They're saying 3 days until they can get to it. I'm escalating with their management but wanted you to know what's happening. -Chris
COMM0079,2023-02-01,VEN015,from_vendor,Delay Notification,"Hi there, I wish I had better news but PO00368 is going to be delayed. We're short-staffed this week (flu going around the warehouse) and we're running behind on all orders. Your shipment will be approximately 7 days late. I know this is frustrating. If you need to escalate or want to discuss compensation, I understand. -Mark"
COMM0080,2023-01-25,VEN020,from_vendor,RE: Order PO00370,"Bad news on PO00370 - our supplier didn't deliver the raw materials on time, which means we're behind schedule. Looking at roughly 9 extra days before we can ship. This is on us, not you. Let me know if you want to discuss alternatives or if you need me to try to source from somewhere else."
COMM0081,2023-01-27,VEN008,from_vendor,Shipment Delay - PO00374,"Ugh, I have some frustrating news. The carrier we use just informed us they're completely backed up and can't pick up PO00374 until next week. This pushes your delivery out by about 7 days from what we originally quoted. I'm looking into alternative carriers but wanted to give you a heads up ASAP. Sorry!"
COMM0082,2023-01-27,VEN001,from_vendor,RE: Your Order,"Hey - bad news on PO00376. Weather delays at the port plus some customs paperwork issues. Probably looking at another 7 days, maybe more. I'll call you tomorrow to discuss options. -Mike"
COMM0083,2023-01-20,VEN019,to_vendor,Account Review,"Hey! It's been a while since we've connected. Would love to schedule a quarterly business review to go over your account, discuss any concerns, and see if there are ways we can better support you. How does next Tuesday look?"
COMM0084,2023-01-29,VEN019,from_vendor,Important: Delivery Delay,"Hey, just got word from our logistics team that PO00386 is going to be delayed. There's a massive backup at the distribution center due to the holiday rush. They're saying 4 additional days minimum. I'm pushing them to expedite but wanted to set expectations. Will keep you updated!"
COMM0085,2023-01-27,VEN015,from_vendor,Customs Clearance Delay,"CUSTOMS DELAY NOTICE

Order: PO00387
Status: Held in customs
Reason: Additional documentation required
Estimated Delay: 9 days

We are working with our customs broker to expedite clearance. Will provide updates as situation progresses."
COMM0086,2023-01-27,VEN016,from_vendor,RE: Order PO00389,"Bad news on PO00389 - our supplier didn't deliver the raw materials on time, which means we're behind schedule. Looking at roughly 7 extra days before we can ship. This is on us, not you. Let me know if you want to discuss alternatives or if you need me to try to source from somewhere else."
COMM0087,2023-01-30,VEN011,from_vendor,DELIVERY NOTIFICATION,DELIVERY NOTIFICATION: Order PO00390 has been rescheduled. Original ETA was 01/31/2023 but due to carrier capacity constraints the new ETA is 02/08/2023. Please contact us if this causes any issues.
COMM0088,2023-01-31,VEN005,from_vendor,FW: Production Delay,"Forwarding this from production:

""Order PO00393 delayed due to ingredient shortage from our supplier. Estimated 9 day delay.""

Not much I can add to that unfortunately. We're at the mercy of our upstream suppliers on this one. I'll push them to expedite but wanted you to know what's going on. -Jennifer"
COMM0089,2023-01-29,VEN010,from_vendor,Shipment Update,"Subject: Shipment Update

Dear Customer,

Regarding your order PO00394, we are experiencing unexpected delays in our supply chain. Current estimate is 5 additional business days beyond original delivery date. We appreciate your patience and understanding during this time.

Sincerely,
Logistics Team"
COMM0090,2023-02-02,VEN016,from_vendor,Raw Material Quality Issue,We received a batch of raw materials that failed our incoming quality inspection. Had to reject it and wait for replacement from our supplier. This has delayed production of PO00396 by 4 days. Quality is our top priority so we couldn't compromise. New ship date: 02/07/2023.
COMM0091,2023-01-27,VEN015,from_vendor,FW: Production Delay,"Forwarding this from production:

""Order PO00400 delayed due to ingredient shortage from our supplier. Estimated 6 day delay.""

Not much I can add to that unfortunately. We're at the mercy of our upstream suppliers on this one. I'll push them to expedite but wanted you to know what's going on. -Jennifer"
COMM0092,2023-01-29,VEN014,from_vendor,Shipping Update,"SHIPPING UPDATE

Order: PO00408
Original Ship Date: 01/28/2023
Revised Ship Date: 02/04/2023
Reason: Port congestion
Delay: 7 business days

We apologize for this inconvenience and appreciate your patience."
COMM0093,2023-01-29,VEN010,from_vendor,Urgent: Delivery Timeline Change,"URGENT UPDATE

Your order PO00410 has been impacted by a carrier strike. All deliveries are delayed by approximately 9 days. We are actively working to secure alternative transportation but cannot guarantee the original delivery date of 01/30/2023. New estimated delivery: 02/08/2023. Please contact us immediately if this creates critical supply issues."
COMM0094,2023-02-01,VEN003,from_vendor,Facility Maintenance Overrun,"Our scheduled facility maintenance took longer than planned - found some issues that needed immediate attention. Production was down for an extra 2 days. PO00412 is now delayed by 6 days total. Better to fix it now than have a bigger problem later, but I know it doesn't help your situation. Sorry!"
COMM0095,2023-01-21,VEN013,from_vendor,Sustainability Report,Attached is our 2023 Sustainability Report. We've made some great progress on our environmental goals and thought you'd like to see the results. Proud of what we've accomplished!
COMM0096,2023-01-28,VEN016,from_vendor,Supply Chain Disruption,"Hi, we're experiencing a major supply chain disruption affecting multiple orders including PO00423. One of our key suppliers had a facility fire and we're scrambling to source materials elsewhere. Your order will be delayed approximately 6 days. I'll keep you posted as the situation develops."
COMM0097,2023-02-03,VEN004,from_vendor,Facility Maintenance Overrun,"Our scheduled facility maintenance took longer than planned - found some issues that needed immediate attention. Production was down for an extra 2 days. PO00426 is now delayed by 6 days total. Better to fix it now than have a bigger problem later, but I know it doesn't help your situation. Sorry!"
COMM0098,2023-02-02,VEN003,from_vendor,Ingredient Recall Impact,One of our ingredient suppliers issued a recall which affected our inventory. We had to dispose of materials and wait for replacement before we could produce PO00430. This has caused a 3 day delay. Everything is back on track now. New delivery estimate: 02/06/2023.
COMM0099,2023-02-04,VEN008,from_vendor,Production Backlog Alert,"PRODUCTION BACKLOG ALERT

Order: PO00434
Status: Delayed
Reason: Unexpected surge in demand
Additional Time Needed: 9 days
New ETA: 02/14/2023

We are working overtime to catch up. Please advise if this delay creates critical issues for your operations."
COMM0100,2023-01-29,VEN020,from_vendor,Inspection Hold Delay,Quick heads up - PO00445 got flagged for a random quality inspection which has delayed shipment. Everything passed inspection but the process added 7 days to the timeline. New ship date is approximately 02/06/2023. Sorry for the unexpected delay!
COMM0101,2023-01-27,VEN002,from_vendor,Equipment Failure Update,Update on PO00448: Our main production line had a critical equipment failure that took 3 days to repair. We're back online now but your order is 3 days behind schedule. We're running extra shifts to catch up. Really sorry about this - the equipment failure was completely unexpected.
COMM0102,2023-02-02,VEN003,from_vendor,Equipment Failure Update,Update on PO00451: Our main production line had a critical equipment failure that took 3 days to repair. We're back online now but your order is 6 days behind schedule. We're running extra shifts to catch up. Really sorry about this - the equipment failure was completely unexpected.
COMM0103,2023-01-22,VEN008,from_vendor,New Product Line,"EXCITING NEWS! We've just launched our new organic product line and I think you're going to love it. Premium quality, competitive pricing, and all the certifications you need. Want to schedule a tasting? Let me know! -Jennifer"
COMM0104,2023-01-22,VEN006,from_vendor,RE: Quick question,"Hey, did you get my voicemail from yesterday? Give me a call when you have a chance. Thanks!"
COMM0105,2023-01-31,VEN012,from_vendor,Fuel Shortage Impact,"Believe it or not, there's a regional fuel shortage affecting all carriers in the area. Our freight company is rationing deliveries and PO00456 got pushed back. Looking at 5 additional days. This is completely out of our control but I wanted to keep you informed. Frustrating situation for everyone."
COMM0106,2023-02-04,VEN002,from_vendor,Shipment Update,"Subject: Shipment Update

Dear Customer,

Regarding your order PO00459, we are experiencing unexpected delays in our supply chain. Current estimate is 7 additional business days beyond original delivery date. We appreciate your patience and understanding during this time.

Sincerely,
Logistics Team"
COMM0107,2023-02-02,VEN008,from_vendor,Ingredient Recall Impact,One of our ingredient suppliers issued a recall which affected our inventory. We had to dispose of materials and wait for replacement before we could produce PO00461. This has caused a 7 day delay. Everything is back on track now. New delivery estimate: 02/10/2023.
COMM0108,2023-02-03,VEN003,from_vendor,Cyber Security Incident,"We experienced a cyber security incident that required us to take systems offline as a precaution. Everything is secure now but we lost several days of production time. PO00467 is delayed approximately 7 days. We take security seriously and this was the right call, but I know it impacts you. Thanks for understanding."
COMM0109,2023-01-30,VEN004,from_vendor,Raw Material Quality Issue,We received a batch of raw materials that failed our incoming quality inspection. Had to reject it and wait for replacement from our supplier. This has delayed production of PO00480 by 7 days. Quality is our top priority so we couldn't compromise. New ship date: 02/07/2023.
COMM0110,2023-02-04,VEN002,from_vendor,Customs Clearance Delay,"CUSTOMS DELAY NOTICE

Order: PO00481
Status: Held in customs
Reason: Additional documentation required
Estimated Delay: 6 days

We are working with our customs broker to expedite clearance. Will provide updates as situation progresses."
COMM0111,2023-01-23,VEN015,from_vendor,Weather Advisory,Heads up - there's a major storm system moving through the midwest this week which might impact delivery schedules. We're monitoring closely and will keep you updated if your orders are affected.
COMM0112,2023-02-04,VEN010,from_vendor,Delay Notification,"Hi there, I wish I had better news but PO00484 is going to be delayed. We're short-staffed this week (flu going around the warehouse) and we're running behind on all orders. Your shipment will be approximately 6 days late. I know this is frustrating. If you need to escalate or want to discuss compensation, I understand. -Mark"
COMM0113,2023-02-04,VEN003,from_vendor,Order Delay - PO00492,Wanted to give you a heads up that PO00492 is running behind. We had some equipment break down in the middle of your production run and had to pause everything while we got it fixed. Back up and running now but we lost about 9 days. Should ship by 02/14/2023. Sorry for the delay!
COMM0114,2023-02-04,VEN018,from_vendor,Labor Shortage Impact,"Hi, wanted to give you a heads up that we're dealing with significant labor shortages right now. We're running at about 60% capacity which is impacting all orders including PO00493. Expect a delay of approximately 7 days. We're actively hiring but it's a tough market. Sorry for the inconvenience."
COMM0115,2023-02-04,VEN018,from_vendor,Shipment Delay - PO00497,"Ugh, I have some frustrating news. The carrier we use just informed us they're completely backed up and can't pick up PO00497 until next week. This pushes your delivery out by about 3 days from what we originally quoted. I'm looking into alternative carriers but wanted to give you a heads up ASAP. Sorry!"
COMM0116,2023-02-01,VEN014,from_vendor,System Migration Delay,We're in the middle of a system migration and it's not going smoothly. Order processing has been delayed across the board. PO00501 is affected and will be approximately 6 days late. I know this is our problem not yours. We'll have a credit applied to your account for the inconvenience.
